name,categories,Small Category,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,postalCode,state,id,Cluster Labels
Lamar Estates Nursing Home,Assisted Living,Medical,,US,Lamar,United States,,777,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.087333, 'lng': -102.627074}]",38.087333,-102.627074,,CO,57715bcf498e3df013df1513,3
Wild West Athletics,Athletics & Sports,Retail,Main Street,US,Lamar,United States,,642,"['Main Street', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.090743, 'lng': -102.619324}]",38.090743,-102.619324,81052,CO,54e8d028498ef7333a1a3d56,2
Tri-State Body Shop,Auto Garage,Service,,US,Lamar,United States,,742,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.091345, 'lng': -102.621282}]",38.091345,-102.621282,,CO,56831dcd498e4d155621ad7b,2
LifeSafer Ignition Interlock,Automotive Shop,Service,402 E Olive St,US,Lamar,United States,,492,"['402 E Olive St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088394, 'lng': -102.615143}]",38.088394,-102.615143,81052,CO,4fa04f967beb17ac196f4904,0
Ark Valley Auto Service,Automotive Shop,Service,,US,Lamar,United States,,687,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08823651258459, 'lng': -102.61204297815281}]",38.08823651,-102.612043,81052,CO,4f10aa10e4b004205387e51f,0
Deloachs Tires,Automotive Shop,Service,105 S 4th St,US,Lamar,United States,,468,"['105 S 4th St', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08910071849823, 'lng': -102.6175993680954}]",38.08910072,-102.6175994,81052,CO,4bfb04a4f214a59386a8ae0e,4
frontier bank,Bank,Service,,US,Lamar,United States,,348,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.08796142763726, 'lng': -102.6199531817063}]",38.08796143,-102.6199532,,CO,524b287b11d21d433b6c22cd,4
Legacy Bank,Bank,Service,,US,Lamar,United States,,395,"['Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.088522, 'lng': -102.618252}]",38.088522,-102.618252,81052,CO,5033d7c7e4b087df0bc2e3af,4
stockmans,Bar,Restaurant,,US,Lamar,United States,,285,"['Lamar, CO', 'United States']","[{'label': 'display', 'lat': 38.08750534057617, 'lng': -102.61811828613281}]",38.08750534,-102.6181183,,CO,5330ed32498e306afa5cb8d7,4
Desiree's,Bar,Restaurant,100-198 E Beech St,US,Lamar,United States,Main,459,"['100-198 E Beech St (Main)', 'Lamar, CO 81052', 'United States']","[{'label': 'display', 'lat': 38.08911681175232, 'lng': -102.61868553333333}]",38.08911681,-102.6186855,81052,CO,4bf0def5f45ec928fc4b943c,4
